key,chinese,english,remark
start,开始游戏,Start Game,这里写备注，不可以用英文逗号哦
language,简体中文,English,切换语言按钮
setting,设置,Setting,
quit,退出,Quit,
restart,重新开始,Restart,
next,下一天,Next Day,
ending1,死人不会说话,Dead men tell no tales,
ending2,被发现了,Be seen,
ending3,错误，链接中断,Fail to connect,
ending4,音乐吸引了注意,Alarmed by the music,
day2,成功通过第一天，正在链接第二天,Successfully passed Day 1， linking Day 2,
day3,成功通过第二天，正在链接第三天,Successfully passed Day 2， linking Day 3,
day4,成功通过第三天，正在链接第四天,Successfully passed Day 3， linking Day 4,
day5,成功通过第四天，正在链接第五天,Successfully passed Day 4， linking Day 5,
day6,成功通过第五天，正在链接第六天,Successfully passed Day 5， linking Day 6,
day7,成功通过第六天，正在链接第七天,Successfully passed Day 6， linking Day 7,
1,1,1,
mysterious1,噢，醒了吗？,Are you awake?,与黑衣人的对话
mysterious2,我知道你有很多疑问，但我不会回答你任何问题,I know you might have a lot of questions， but I won't answer any of them.,
mysterious3,适时的沉默对你我都有好处,Being silent is beneficial to both of us.,
mysterious4,你应该知道自己的处境，你只有一个任务，或者说，机会,You should know where you stand， you have only one mission， or rather，an opportunity.,
mysterious5,按我说的做，我能够让你重获自由,Follow my instructions and I can set you free.,
mysterious_Choice1,你是谁？,Who are you?,
mysterious_Choice2,沉默,Silence,
mysterious6,你的问题太多了,You talk too much.,
mysterious7,很好，你的任务很简单，去监视一个人,Very well， we're in business now. Your mission is simple， to keep an eye on a woman.,
mysterious8,我们的协议从今天开始，你只有7天的时间，找到那个“东西”,Our protocol starts from today， you only have 7 days left to find the "THINGS".,
mysterious9,等时间到了，你会明白的！现在，打开你面前的电脑,When the time comes， you will see. For now，turn on the computer in front of you.,
mysterious10,我们需要你监视这个房子的主人,We need you to keep an eye on the owner of this property.,
mysterious11,监视过程中，可能会发生一些超乎常理的现象，请不用太在意,No matter what you see， there is no need to be surprised.,
mysterious12,最后，给你一个小小的忠告，不要被TA发现！,Lastly， a friendly advice for you， don't let her notice!,
mysterious13,那么，祝我们合作愉快,Well，good luck with our corporation.,
bmf1,……欢迎致电BMF便捷购买服务，请问您有什么需求？,Welcome to BMF convenient purchasing service. What can I help you?,与BMF的对话
bmf_Choice1,关于BMF,What does BMF stand for?,
bmf_Choice2,如何购买,What can I buy from your company?,
bmf2,您可以买到所有能想象到的东西，食物，药品，违禁品，只要支付的代价合适,You can purchase everything conceivable， for instance food， medicine， contraband， as long as you can afford the price.,
bmf_Choice3,购买固态药,Purchase Pills,
bmf_Choice4,购买液态药,Purchase Potion,
bmf3,预定成功后，订单将于次日送达，您可以买到所有能想象的东西，只要支付的代价合适,After booking，merchandise will be delivered the next day. You can purchase everything conceivable，as long as you can afford the price.,
bmf4,好的，已确认订单，请谨慎使用，感谢使用BMF服务！,Order comfirmed. Please use with discretion. Thanks for using BMF services!,
3,3,3,
reporter1,……喂，你好，你找谁？,Hello，how can I help you?,
reporter_Choice1,请问王记者在吗？,Is reporter Wang here?,
reporter_Choice2,请问这里是明日报社吗？,Is this the MingNews Daily?,
reporter2,对，是我。有什么事情吗？,Yes， it's me. What can I do for you?,
reporter3,对，这里是明日报社。哦，我知道了，向编辑部投稿去打另一个电话呀，你打错啦！,Yes， this is MingNews Daily. Oh， I see. Call the other number to submit an article to the news editorial department， you've got the wrong number.,
reporter4,唔，关于5年前的旧案件。那件事，我记不太清啦,About the accident that happens 5 years ago? Sorry， I don't remember much about it.,
reporter5,警方结案说是，醉酒驾车吧，好端端一个身居高位的科学家，居然有酗酒的毛病,The police closed the case and said it was a drunk driving accident. It's a shame that a scientist in a such high position has a drinking problem.,
reporter6,幸好那场车祸没伤到其他人，当时在科研界有不小波澜吧，不过没几天就消了，再详细的事我就不清楚啦，我只是一个撰稿人！,Fortunately， no one else was hurt in the crash. At that time， there was a lot of controversy in the society， but all those voices soon disappeared. I'm not sure about further details. I just wrote an article about it!,
reporter7,最近老有人来问我，哎行了行了，我知道的都说啦，没有其他事就挂了啊！,People keep calling me to ask these days. All right，I've said all I know. If nothing else， I'll hang up. Bye!,
reporter8,哦？你想说什么，我拿笔过来，你等会！喂喂，你人还在吗？,OK? What do you want to say? I'll grab a pen. Wait a minute! Hello? Hi? Are you still there?,
reporter_Choice3,想要案件的深入信息,Request for in-depth information,
reporter_Choice4,想要提供相关线索,Provide a clue,
4,4,4,
calendar,一本日历，某个日期被圈起来了,A calendar where a certain date is circled.,
digitclock,一个电子时钟，似乎可以修改时间(请谨慎修改时间，可能发生未知错误),An electronic clock that can modify the time. （Please adjust the time carefully， unknown errors may occur）,
ladybag,一个女士用的手提包，可以放点什么进去么,A handbag for women，might be able to put something in.,
musicbox,这是一个精致的八音盒，看起来是一份礼物。,It is a delicate octavo box that looks like a gift.,
5,5,5,
tips1,这一天还有未探索完的记忆,There are still unexplored memories from this day.,
tips2,录音笔被放入了背包,The recording pen was put into the backpack.,
tips3,成功修复了水龙头,Faucet successfully repaired.,
tips4,密码正确,Password Correct,
tips5,密码错误,Passoword Error,
tips6,账号或密码错误,Account or password error,
tips7,成功修复监视器,Successful repair of monitor,
tips8,发现了一个“记忆碎片”,Found a "Memory Piece",
tips9,发现了一个“录音笔”,Found a recording pen,
tips10,发现了一个“电池”,Found a battery ,
tips11,发现了一个“扳手”,Found a wrench,
tips12,这个水龙头似乎坏了,This faucet seems to be broken.,
tips13,发现了一个“相机SD卡”,Found a SD card for camera,
tips14,获得了“蓝色胶片”,Obtained XXX,
tips15,杯子被打翻了,The cup is spilled,
tips16,她还在这里，无法探索,can not explore while she still here,
tips17,解锁了录音功能,unlock record function,
guide01,你首先要找的，我们称之为记忆碎片。它是碎掉的残片，唯有拼凑重组起来，才能还原出当日的真相。,no translation yet，guide01,
guide02,为什么不从最简单的做起，看看被人丢弃之物？有时候，珍贵的东西，也会被丢进垃圾桶里。,no translation yet，guide02,
guide03,时间的观念在这个世界极为重要。啊，我似乎说多了。,no translation yet，guide03,
guide04,很好。你第一天的任务成功了。去听听看你都录到了什么。,no translation yet，guide04,
guide05,那么，晚安。,no translation yet，guide05,
guide06,你还真的是合格的偷窥狂。送你一个直白的提示吧，恢复电量的相机将可以正常工作。今天，你的幸运数字是2和4。,no translation yet，guide06,
guide07,不如试试看触碰可以碰倒的物件？,no translation yet，guide07,
guide08,哦？门铃似乎响了，去看看有没有客人…,no translation yet，guide08,
guide09,晚安。虽然于你而言可能是个不眠之夜，但是祝你好梦。,no translation yet，guide09,
guide10,书本是重要的记忆载体，或许能找到你需要的。,no translation yet，guide10,
guide11,当你在窥视过去的时候，过去也在窥视着你。,no translation yet，guide11,
6,6,6,
record1,匿名者A：是的，我现在已经好很多了，明天就可以回来复职。\n匿名者B：这样，你别急，我和你说个事。你可以好好休息一段时间，我们这边的人手暂时是充足的，什么时候身体好转了，再回来。\n匿名者A：可是，难道真相就不该被公布于众吗？\n匿名者B：唉，你也清楚的。当年的那些事，早应该让它过去，追究得一清二楚总归不好。,Anonymous A: Yes， I'm getting much better now. I can come back tomorrow. \nAnonymous B: Look， here's the deal. Take it easy， let me tell you something. You can take a good rest for a while， our department is fully staffed for the time being. When you are fully recovered， you can come back again.\nAnonymous A: But shouldn't the truth be revealed to the public?\nAnonymous B: You are well aware of that. Those things back then should have been let go. It's always bad to pursue all the details.,
record2,匿名者A：已经……已经有一段时间了。原本还没有那么严重，这一切都是我的错。\n匿名者B：不用过度责怪自己，你失眠的症状好一些了吗？\n匿名者A：我，我没办法。一想到那些事情，我就没有办法入睡。他们就是一群疯子。匿名者B：你可以和我说一下，你究竟遇到什么了吗？\n匿名者A：我不能说。\n匿名者B：这样吧，我给你开一种新药，你试一周，看下效果。对了，服药期间禁止驾驶车辆，下星期回来复诊。,Anonymous A: It's been a while. It wasn't that bad before ...... It's all my fault.\nAnonymous B: Don't blame yourself too much. Are your insomnia symptoms getting better?\nAnonymous A: I ...... I can't help ...... When I think about those things， I can't sleep at all. They're a bunch of crazy bastards.\nAnonymous B: Can you tell me what happened to you?\nAnonymous A: (sigh)\nAnonymous B: I'll tell you what. I'm going to give you a new medicine， and you can try it for a week and see how it works. You are not allowed to drive a car while taking it， and you will come back next week for a follow-up.,
